doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.3390/rs8080687,2016,Landsat Imagery Spectral Trajectories - Important Variables for Spatially Predicting the Risks of Bark Beetle Disturbance,Remote Sensing,RQ2,pre-disturbance Landsat spectral trajectories introduced as a long-term stress indicator into infestation risk models with environmental predictors,"Landsat Thematic Mapper, aerial photographs 1991 and 1994 to 2000 as reference",bark beetle,"Sumava Mountains spruce, Czech and German border",pixel,annual aerial photograph delineations as reference,no,not extracted from abstract,not extracted from abstract,"Uses the history of a pixel before the disturbance as a predictor, which is available here because the aerial overview survey archive is long."
10.3390/f8010015,2016,Differentiation of Alternate Harvesting Practices Using Annual Time Series of Landsat Data,not stated,RQ2,annual Landsat time series with spectral metrics and attributed change products to distinguish harvest prescriptions by canopy cover removed,annual Landsat time series,"clearcut, clearcut with residual, partial and selective cutting",Canadian managed forest,pixel and patch,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Separates classes that differ only in severity within one agent, which is closer to the adelgid-versus-beetle problem than most wind-versus-beetle work, though the agent is human and the timing is instantaneous."
10.31803/tg-20171219085721,2018,Satellite-based hyperspectral imaging and cartographic visualization of bark beetle forest damage for the city of Čabar,not stated,RQ2,semi-automatic classification of satellite hyperspectral imagery to map bark beetle spread following ice damage,Copernicus satellite land monitoring imagery,ice rain damage followed by bark beetle spread,"forest of the city of Cabar, Croatia",not stated,not stated,no,not stated,not stated,Short paper. Another instance of an abiotic event followed by a biotic agent on the same stands.
10.1093/forestscience/34.2.259,1988,Classification of Airborne Multispectral Scanner Data for Mapping Current Defoliation Caused by the Spruce Budworm,Forestry sciences,RQ2,"classification of airborne multispectral scanner bands, ratios, differences and principal components into three current-defoliation levels",airborne multispectral scanner,spruce budworm (Choristoneura fumiferana),mixed fir and spruce forest,pixel,not stated in abstract,no,classifiability of defoliation levels,"three levels of current defoliation classified (heavy, light, healthy); little advantage beyond four bands","1988. States that cumulative defoliation and mixed-wood areas caused confusions in the classifications, which is the same confusion this project faces between chronic adelgid damage and mixed stand composition."
10.3390/f17010108,2026,Application of CNN and Vision Transformer Models for Classifying Crowns in Pine Plantations Affected by Diplodia Shoot Blight,Forests,RQ4,convolutional neural network and vision transformer models detecting and classifying infected crowns across five sites and two acquisition years,high spatial resolution aerial imagery,Diplodia shoot blight (Diplodia sapinea),Pinus radiata plantation,individual crown,"five geographically dispersed sites with varying topography, two years",no,not extracted from abstract,not extracted from abstract,"States explicitly that aerial sketch-mapping and manual photo interpretation for tree health surveys are labour-intensive and subjective, and offers deep learning as the replacement."
10.1038/s41597-025-06269-x,2025,Historical insect disturbance maps from 1985 onwards for Canadian forests derived using earth observation data,Scientific Data,RQ4,"Landsat-based annual mapping of severe insect defoliation, evaluated against aerial survey classes","Landsat at 30 m, 1985 to 2024",boreal forest insect pests causing severe canopy loss,Canadian boreal coniferous forest,30 m pixel,evaluated against aggregated moderate and severe pest classes,no,overall prediction accuracy,90% between the aggregated moderate-and-severe pest class and the non-pest class,"CENTRAL FOR RQ4 AND FOR CANADA. States that current monitoring relies on costly and subjective aerial survey interpretations, and that no consistent long-term satellite dataset previously existed for severe canopy loss in coniferous forests. Its 90% figure applies only to a two-class aggregation, not to agent identity."
10.3390/jimaging11110413,2025,Sentinel-2-Based Forest Health Survey of ICP Forests Level I and II Plots in Hungary,Journal of Imaging,RQ4,standardised NDVI anomaly maps compared against ground-based ICP Forests plot assessments,"Sentinel-2, 2017 to 2023",drought-driven forest damage,"Hungarian forest, 7 Level II and 78 Level I plots",plot,agreement between satellite damage categories and ground plot assessments,no,agreement between satellite and ground damage classes,"agreement reported between Level II plots and the five severity categories, figures not extracted from abstract","Ground plot network as the reference for a satellite damage classification, the same validation structure this project needs."
10.1101/2025.11.19.689366,2025,"Spatially explicit forest mortality forecasts are driven by autocorrelation, not ecological context",bioRxiv,RQ4,"gradient-boosted regression compared against naive autocorrelation models at continental and local scale, with an assessment of bias and variability among aerial survey observers","aerial detection surveys, satellite imagery change, high-resolution individual dead tree mapping",drought and insect-induced mortality,western United States forest,"survey polygon, pixel and individual tree","comparison of models trained on different mortality data sources, plus an observer bias assessment",no,predictive skill against autocorrelation baselines,not extracted from abstract,"CENTRAL FOR RQ4. Preprint. Directly evaluates bias and variability among aerial survey observers, and reports that spatially explicit mortality forecasts are driven by autocorrelation rather than by ecological context, which is a warning about spatially unblocked validation."
10.3390/plants12040798,2023,Precision Detection and Assessment of Ash Death and Decline Caused by the Emerald Ash Borer Using Drones and Deep Learning,Plants,RQ4,deep learning model trained on 6174 drone aerial images of ash decline,drone aerial imagery,emerald ash borer (Agrilus planipennis),"Fraxinus spp., West Virginia and Pennsylvania",individual tree in image,not stated in abstract,no,not extracted from abstract,not extracted from abstract,States that visual ground and aerial surveys are generally effective but inefficient for precisely locating declining trees in large or hard-to-access areas.
10.1186/s13595-023-01192-w,2023,Wall-to-wall mapping of carbon loss within the Chornobyl Exclusion Zone after the 2020 catastrophic wildfire,Annals of Forest Science,RQ4,"radar backscatter delta before and after fire, and a radar-based change model, predicting carbon loss from stand-wise inventory and local combustion factors",Sentinel-1 SAR and Sentinel-2 optical,"catastrophic wildfire, 2020",planted forest of the Chornobyl Exclusion Zone,stand,stand-wise inventory data where field observation is impossible,no,"predictive reliability, described qualitatively",both the standalone Sentinel-1 backscatter delta and the radar-based change model reliably predicted carbon loss,"Radar carries a damage magnitude where no field access is possible, which is the operational argument for radar in inaccessible coastal British Columbia."
10.3390/s22197440,2022,Detecting Pest-Infested Forest Damage through Multispectral Satellite Imagery and Improved UNet++,Italian National Conference on Sensors,RQ4,"UNet++ with an attention module, combining multispectral bands, vegetation indices and RGB",multispectral satellite imagery,bark beetle,"forest, region not stated in abstract",pixel segment,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Tests whether adding non-visible bands and indices to RGB improves segmentation of pest damage.
10.1080/07038992.2021.2023317,2022,Detecting White Pine Needle Damage through Satellite Remote Sensing,Canadian journal of remote sensing,RQ4,random forest feature selection then binary and severity classification from Sentinel-2 spectral vegetation indices,Sentinel-2,"White Pine Needle Damage, a fungal disease complex","Pinus strobus, New England",pixel,aerial detection survey outbreak records as reference,no,binary detection accuracy and severity classification accuracy,70% for binary WPND versus non-WPND detection; severity accuracy not extracted from abstract,Explicitly positioned as complementing field and aerial detection surveys rather than replacing them. 70% is a realistic figure for a subtle needle-damage signal at Sentinel-2 support.
10.3390/f13071120,2022,"Accuracy of Defoliation Estimates from Aerial and Ground Surveys in a Boreal Forest during an Outbreak of the Hemlock Looper, Lambdina fiscellaria (Guenée)",Forests,RQ4,aerial survey defoliation classes compared with ground-based Fettes-method estimates on current-year and four preceding years of foliage,operational aerial survey against ground estimation,hemlock looper (Lambdina fiscellaria),boreal conifers,survey class and tree,paired aerial and ground estimates through an outbreak,no,accuracy of aerial defoliation classes against ground estimates,accurate for light and moderate defoliation in the first outbreak year; lower accuracy at both ends of the defoliation gradient and much less reliable after the first year,"CENTRAL RECORD FOR RQ4. Shows that aerial survey severity accuracy is not stable across the outbreak, and that it degrades exactly where the gradient is extreme. Directly relevant to why severity was excluded as a response in this project."
10.3390/f11050529,2020,"Using Satellite Imagery to Evaluate Bark Beetle-Caused Tree Mortality Reported in Aerial Surveys in a Mixed Conifer Forest in Northern Idaho, USA",Forests,RQ4,"beetle-caused mortality mapped from two WorldView-2 images, then used to evaluate Insect and Disease Survey severity estimates",WorldView-2 fine-resolution satellite imagery against operational aerial survey,bark beetles,"mixed conifer forest, northern Idaho",damage polygon,independent satellite-derived mortality used as reference for survey polygons,no,agreement between survey severity estimates and satellite-derived mortality,not extracted from abstract,"CENTRAL RECORD FOR RQ4. Names the subjective nature of aerial surveys as the reason accuracy evaluation matters, and records the change in the reported severity metric from killed trees per acre to percent mortality within damage polygons, which is a direct warning about comparing survey years."
10.1016/j.rse.2020.112204,2020,Evaluating annual spruce budworm defoliation using change detection of vegetation indices calculated from satellite hyperspectral imagery,not stated,RQ4,change detection of vegetation indices from satellite hyperspectral imagery against ground-verified annual defoliation,satellite hyperspectral imagery,spruce budworm (Choristoneura fumiferana),Picea spp. and Abies balsamea,pixel,"ground verification data, scarce by the authors' account",no,not extracted from abstract,not extracted from abstract,"States that current operational annual defoliation estimates come from visual observation from small aircraft, defining broad defoliation classes which are subjective and spatially can be inaccurate. That is the label source this project uses."
10.3390/f11121258,2020,Discriminant Analysis of the Damage Degree Caused by Pine Shoot Beetle to Yunnan Pine Using UAV-Based Hyperspectral Images,Forests,RQ4,"one-way ANOVA, Pearson correlation and stepwise discriminant analysis to build a damage-degree diagnostic model",UAV hyperspectral,Tomicus spp. pine shoot beetle,"Pinus yunnanensis, 80 trees in four plots","individual tree, 80 trees","four sample plots, discriminant model validated internally",no,discriminant accuracy,not extracted from abstract,Small but fully ground-referenced sample with an explicit damage-degree gradient.
10.3390/rs10081184,2018,An Evaluation of Forest Health Insect and Disease Survey Data and Satellite-Based Remote Sensing Forest Change Detection Methods: Case Studies in the United States,Remote Sensing,RQ4,"three change-detection algorithms on Landsat and MODIS producing forest change products, assessed against TimeSync reference data and compared with the Insect and Disease Survey","Landsat, MODIS, against Insect and Disease Survey polygons",insect and disease disturbance,Southern New England and Rio Grande National Forest,pixel and polygon,independent accuracy assessment using TimeSync reference data,no,not extracted from abstract,not extracted from abstract,"CENTRAL FOR RQ4. The operational programme explicitly designed to supplement, not replace, aerial insect and disease survey data, with an independent reference-based accuracy assessment."
10.1117/1.jrs.12.046030,2018,Time-series approach for mapping mountain pine beetle infestation extent and severity in the U.S. Central Rocky Mountains,Journal of Applied Remote Sensing,RQ4,"time-series regression mapping infestation severity as within-pixel percentage, using Landsat, topography and aerial detection survey polygons as covariates","Landsat, digital elevation model, USFS aerial detection survey polygons",mountain pine beetle,US Central Rocky Mountains pine,"Landsat pixel, within-pixel percentage","validation against a randomly selected subset, reference from interpreted NAIP imagery",no,difference between predicted and reference severity,"no statistical difference between predictions and validation subset, as stated in the abstract","Uses aerial survey polygons as a model covariate rather than as ground truth, which is one way to use an imperfect label source honestly."
10.3390/rs9090929,2017,Detecting Drought-Induced Tree Mortality in Sierra Nevada Forests with Time Series of Satellite Data,Remote Sensing,RQ4,two-stage random forest trained with forest aerial detection survey data on MODIS index metrics and topographic variables,"MODIS, aerial detection survey data as training labels",drought-induced mortality,Sierra Nevada forest,MODIS pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Trains directly on aerial survey labels, the same dependency this project has, at coarse support."
10.1016/j.jfe.2017.02.002,2017,Forest pests and home values: The importance of accuracy in damage assessment and geocoding of properties,not stated,RQ4,matching estimator with Bayesian regression adjustment quantifying the effect of geocoding and damage assessment error on estimated losses,USFS Aerial Detection Survey polygons,mountain pine beetle,Colorado front range wildland-urban interface,property location and survey polygon,comparison of estimates under different error assumptions,no,bias in estimated losses,both geocoding and damage assessment errors led to substantial biases,States verbatim that the Forest Service's Aerial Detection Survey is generally too coarse to be informative for property valuation that depends on highly localized spatial data. A blunt independent verdict on survey polygon positional quality.
10.3832/ifor1035-006,2014,Detecting mistletoe infestation on Silver fir using hyperspectral images,not stated,RQ4,hyperspectral image classification of infested versus non-infested fir,hyperspectral imagery,"white mistletoe (Viscum album), a parasitic plant","silver fir (Abies alba), Croatia",individual tree,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Silver fir host with a non-insect biotic agent that produces a physiologically similar water-stress signature to an adelgid, and is therefore a candidate confusing agent."
10.5070/v426110603,2014,Estimating the Total Economic Impact of Black Bear Peeling in Western Oregon Using GIS and REMI,not stated,RQ4,GIS and economic modelling of damage detected in annual aerial forest health surveys,annual aerial forest health survey,black bear bark peeling,"managed conifers, western Oregon",survey polygon,landowner survey data as an alternative estimate,no,detection completeness,"trees that scar over peeling are not detected by aerial surveys, as stated in the abstract","A clean statement of aerial survey omission: damage that heals is invisible to the survey, so the survey systematically undercounts sublethal damage."
10.1080/00049158.2013.799055,2013,Aerial mapping canopy damage by the aphid Essigella californica in a Pinus radiata plantation in southern New South Wales: what are the challenges?,not stated,RQ4,"aerial mapping of canopy damage, with an explicit discussion of the challenges",aerial survey,"Essigella californica, an aphid","Pinus radiata plantation, southern New South Wales",survey polygon,"not retrievable, abstract unavailable",not stated,not retrievable,not retrievable,"Identity resolved by title only, abstract not retrieved. Retained because it is the only record in the set on aerial survey mapping of an adelgid-adjacent sap-feeding aphid, whose damage is chronic and diffuse like the adelgid's. Priority full-text read."
10.1155/2010/498189,2010,Identifying Subalpine Fir (Abies lasiocarpa) Attacked by the Balsam Woolly Adelgid (Adelges piceae) Using Spectral Measurements of the Foliage,not stated,RQ1;RQ4,"stepwise discriminant analysis on branch-level high spectral resolution foliage measurements, then integration across wavebands to simulate SPOT5-HRVIR","field spectroscopy at branch level, simulated SPOT5-HRVIR",balsam woolly adelgid (Adelges piceae),subalpine fir (Abies lasiocarpa),branch,"stepwise discriminant analysis, cross-validation not stated in abstract",no,classification accuracy of infested versus non-infested,"94% with a three-variable model using the red-green index, 670 nm and 1912 nm; 83% with a single-variable model","CENTRAL RECORD FOR RQ1, already cited as Cook 2010. The 94% figure is at branch support under field spectroscopy, not at polygon support from satellite, and the comparison is infested versus non-infested on one host, not adelgid versus a second insect. The abstract also states that aerial surveys are conducted for detection of adelgid infestations, which is the label provenance this project inherits."
10.14358/pers.69.3.283,2003,"Mountain Pine Beetle Red-Attack Forest Damage Classification Using Stratified Landsat TM Data in British Columbia, Canada",not stated,RQ4,"classification of red-attack damage from Landsat TM stratified by GIS forest inventory, trained with field and aerial survey point data","Landsat TM 1999, aerial and field survey points, GIS forest inventory",mountain pine beetle (Dendroctonus ponderosae),"mature lodgepole pine (Pinus contorta), Fort St James Forest District, British Columbia",pixel within inventory strata,field and aerial survey point data,no,not extracted from abstract,not extracted from abstract,"British Columbia, aerial survey point data as reference, stratified by the provincial forest inventory. The direct methodological ancestor of what this project proposes, for a different insect."
10.1111/1365-2745.14145,2023,Short‐term effects of moderate severity disturbances on forest canopy structure,Journal of Ecology,RQ1;RQ3,"mixed-effects models with a non-linear time term applied to repeat NEON lidar canopy structure metrics, across six named moderate-severity agents",repeat airborne lidar (NEON),"press disturbances: beech bark disease, hemlock woolly adelgid, emerald ash borer. Pulse disturbances: spring cankerworm moth, spongy moth, ground fire","temperate forest of the eastern United States, one host per agent",plot,"longitudinal NEON plots, mixed-effects framework",no,"model-estimated change in structural metrics, no classification accuracy",high intensity press and pulse disturbances both inhibited canopy height growth; low intensity pulse disturbances facilitated it; high intensity pulse disturbances increased canopy complexity over time,"CENTRAL RECORD FOR RQ3 AND A NEGATIVE RESULT FOR H1. Six agents including hemlock woolly adelgid, examined structurally from repeat lidar. The abstract states verbatim that while the impact of press disturbances on other dimensions of canopy structure could not be clearly detected, likely because of compensatory growth, the impact of pulse disturbances over time was more readily apparent using multi-temporal LiDAR data. Adelgid damage is a press disturbance, so this is direct published evidence that the structural signal for the agent class of interest is weak. It compares agents rather than classifying them, and each agent sits on a different host. Not in references.bib."
10.3390/f14071357,2023,"Using Remote Sensing and Climate Data to Map the Extent and Severity of Balsam Woolly Adelgid Infestation in Northern Utah, USA",Forests,RQ1,"comparison of three model families, spectral only, terrain and climate only, and combined, for infestation severity","moderate-resolution multispectral satellite imagery, terrain and climate data",balsam woolly adelgid (Adelges piceae),"subalpine fir (Abies lasiocarpa), northern Utah",not stated in abstract,"not stated in abstract, mean R squared reported across runs",no,mean R squared and mean RMSE for severity,spectral only R2mean 0.482 RMSEmean 0.112; terrain and climate R2mean 0.746 RMSEmean 0.078; combined R2mean 0.836 RMSEmean 0.065,"CENTRAL RECORD FOR RQ1, already cited as Campbell 2023 and named as this project's exemplar. Its own abstract states the gap verbatim: while the spectral data successfully detected forest degradation, they failed to distinguish between causal agents of change. That sentence is the strongest published statement in the whole set that agent discrimination for this specific insect is unsolved by spectra alone."
10.1093/jofore/fvab001,2021,Spatial Distribution of Chesapeake Bay Riparian Hemlock Forests Threatened by Hemlock Woolly Adelgid,Journal of Forests,RQ1,thresholding of existing basal area raster layers to identify subwatersheds and riparian buffers with high host density,existing basal area raster products,hemlock woolly adelgid,"eastern hemlock (Tsuga canadensis), Chesapeake Bay",pixel within fixed-width riparian buffers,"not applicable, mapping exercise",no,not applicable,not applicable,"Host mapping as a precursor to damage mapping, again showing the host-first sequence."
10.1016/j.foreco.2020.118402,2020,Characterizing recent bark beetle-caused tree mortality in the western United States from aerial surveys,not stated,RQ1;RQ4,"compilation and analysis of the aerial survey record 1997 to 2018, converting affected area into mortality area, the canopy area of beetle-killed trees",USFS aerial detection survey,"bark beetles (Curculionidae, Scolytinae), by beetle and tree species",western United States conifers,survey polygon,"not applicable, dataset characterisation",no,mortality area and number of killed trees,not extracted from abstract,"CENTRAL FOR RQ4. Records that the US Forest Service changed survey approaches during the record, creating challenges for comparison across years, and that affected area overstates impact relative to mortality area. Both problems apply to the British Columbia archive."
10.1016/j.foreco.2020.118133,2020,"Subalpine fir mortality in Colorado is associated with stand density, warming climates and interactions among fungal diseases and the western balsam bark beetle",Forest Ecology and Management,RQ1;RQ4,"two field survey designs, statewide characterisation plots compared against aerial surveys, and stand health monitoring plots measuring biotic and abiotic factors directly",field survey compared against aerial survey,"western balsam bark beetle (Dryocoetes confusus), Armillaria root disease, black stain fungus (Ophiostoma dryocoetidis), spruce beetle (Dendroctonus rufipennis)","subalpine fir (Abies lasiocarpa) and Engelmann spruce (Picea engelmannii), Colorado",field plot and survey polygon,statewide characterisation plots explicitly compared to aerial surveys,no,association between ground-observed and aerially estimated mortality,not extracted from abstract,"CENTRAL RECORD FOR THIS PROJECT'S CONFOUNDS. The comparison class in this project, western balsam bark beetle, is shown here to act inside a mortality complex with two fungi and a second beetle on subalpine fir. Its first research question is whether spruce-fir mortality observed at ground level is similar to that estimated through aerial surveys, which is the RQ4 question in the exact host system. Not in references.bib."
10.3390/f11111167,2020,Ability of Remote Sensing Systems to Detect Bark Beetle Spots in the Southeastern US,not stated,RQ1,comparison of Sentinel-2 and MODIS NDVI products for detecting small bark beetle spots,"Sentinel-2, MODIS (ForWarn)",bark beetles,southeastern United States forest,pixel,not stated in abstract,no,relative detection potential,Sentinel-2 NDVI shows greater potential than MODIS; MODIS resolution prevents deployment given high spatiotemporal heterogeneity,"A clean statement that spatial resolution, not algorithm, is the binding constraint in fragmented forest, which is the situation on coastal British Columbia."
10.3390/rs12152412,2020,Monitoring Forest Infestation and Fire Disturbance in the Southern Appalachian Using a Time Series Analysis of Landsat Imagery,Remote Sensing,RQ1,"comparison of tasseled cap indices, NDVI, EVI and a disturbance index in Landsat time series for capturing infestation and fire",all available Landsat imagery,hemlock woolly adelgid and wildfire,"Tsuga canadensis and Tsuga caroliniana, southern Appalachians",pixel,not stated in abstract,no,index performance comparison,not extracted from abstract,"Two agents in one landscape, an insect and a fire, compared through index performance rather than classified against each other."
10.1093/jofore/fvz021,2019,Combined Effects of Hemlock Woolly Adelgid (Adelges tsugae) Infestation and Treatment with Imidacloprid on Eastern Hemlock (Tsuga canadensis) Leaf Radiometry,Journal of Forests,RQ1,leaf-level radiometry under a factorial of adelgid presence or absence and imidacloprid treatment,leaf-level radiometry,"hemlock woolly adelgid, with an insecticide treatment as a second factor",eastern hemlock (Tsuga canadensis),leaf,factorial presence-absence and treatment design,no,leaf optical properties,adelgid presence changed lower canopy leaf optical properties indicative of reduced photosynthetic potential and efficiency,"Locates the adelgid's optical signal in the lower canopy, which is exactly where passive overhead sensors cannot see and where lidar can."
10.1098/rsfs.2017.0044,2018,"The potential to characterize ecological data with terrestrial laser scanning in Harvard Forest, MA",Interface Focus,RQ1,"review of terrestrial laser scanning applications at a long-term ecological research site, including dual-wavelength instruments","terrestrial laser scanning, including the Dual-Wavelength Echidna Lidar, with airborne laser scanning and forest census data",not the focus; the site carries hemlock and hemlock woolly adelgid history,"Harvard Forest, Massachusetts","plot and individual tree, 35 ha ForestGEO plot","not applicable, review",no,not applicable,not applicable,"The instrument and site context behind the simulated-GEDI adelgid study, so it establishes what structural data exist for the eastern adelgid system."
10.3390/rs9050407,2017,"Spring and Autumn Phenological Variability across Environmental Gradients of Great Smoky Mountains National Park, USA",Remote Sensing,RQ1,"MODIS NDVI time series filtered by cover type, topography and disturbance history to isolate phenological variation","MODIS NDVI, 2000 to 2015",disturbance history used as a filter rather than a response,Great Smoky Mountains National Park,MODIS pixel,not stated in abstract,no,not extracted from abstract,elevational effects were greatest in spring and more important than site moisture effects,"Quantifies how much phenological signal elevation alone produces, which is the background against which any damage anomaly must be measured in mountainous terrain."
10.1111/mec.13589,2016,"Ancient and modern colonization of North America by hemlock woolly adelgid, Adelges tsugae (Hemiptera: Adelgidae), an invasive insect from East Asia",Molecular Ecology,RQ1,14 microsatellites and mitochondrial COI sequencing to reconstruct lineage structure and colonization history,"not applicable, molecular",hemlock woolly adelgid (Adelges tsugae),"Tsuga spp., worldwide",individual insect,"not applicable, molecular phylogeography",no,not applicable,"eight endemic lineages identified, including a western North American lineage with very high microsatellite heterozygosity suggesting ancient asexuality","Not a remote sensing study. Retained for RQ1 because it independently corroborates the western North American adelgid as a distinct endemic lineage, which is the finding that reorganised this project."
10.1093/jee/tou015,2015,A 10-Year Assessment of Hemlock Decline in the Catskill Mountain Region of New York State using Hyperspectral Remote Sensing Techniques,Journal of Economic Entomology,RQ1,"hyperspectral collections in 2001 and 2012 with concurrent ground truthing, compared against a ten-year field metric survey",airborne hyperspectral,hemlock woolly adelgid,"eastern and Carolina hemlock, Catskill Mountains",stand and tree,two hyperspectral epochs with concurrent ground truthing over a ten-year field survey,no,change in field condition metrics,fine twig dieback increased from 9% to 15%; live crown ratio decreased from 67% to 56%; healthy hemlock fell from 59% in 2001,"Ten-year repeat with matched ground truth. Quantifies how slow and small the adelgid's canopy change is, which bounds what any single-epoch classifier can see."
10.1890/es11-0277.1,2012,A foundation tree at the precipice: Tsuga canadensis health after the arrival of Adelges tsugae in central New England,not stated,RQ1,aerial photograph mapping of hemlock distribution with a 123-stand subsample examining spatial pattern of infestation and impact,aerial photographs,"hemlock woolly adelgid, since arrival in 1989","Tsuga canadensis, central Massachusetts","stand, 5127 stands mapped and 123 subsampled",stratified subsample of mapped stands,no,area and stand counts,"over 86,000 ha of hemlock forest mapped in 5127 stands","Landscape and stand factors influencing spread and impact for the eastern adelgid, at the scale this project works at."
10.1093/forestscience/56.6.529,2010,Property Value Impacts of Hemlock Woolly Adelgid in Residential Forests,Forestry sciences,RQ1,hedonic price models on a decade of property transactions with hemlock health measured biannually by image differencing,"satellite imagery, image differencing",hemlock woolly adelgid,"naturally regenerated hemlock stands, West Milford, New Jersey",stand and parcel,spatial error and fixed-effects panel models,no,"not applicable, economic estimate",hemlock decline consistently caused statistically significant reductions in property values,"Uses a remote sensing health series as an economic covariate, an example of the downstream use that makes label accuracy consequential."
10.1093/forestscience/43.3.327,1997,Monitoring Hemlock Forest Health in New Jersey Using Landsat TM Data and Change Detection Techniques,Forestry sciences,RQ1,"regression relating canopy condition to the temporal difference in near infrared over red reflectance between anniversary Landsat dates, predicting four condition classes","Landsat Thematic Mapper, anniversary dates 1984 and 1994",hemlock woolly adelgid,"eastern hemlock (Tsuga canadensis), New Jersey Highlands, 1267 km2",90 m diameter ground plot and pixel,"105 plots for model development, 50 plots reserved for accuracy assessment",no,correlation with ground-measured damage,R2 0.73 between the vegetative index difference and ground-measured hemlock damage,"CENTRAL RECORD FOR RQ1. States verbatim that lightly defoliated hemlock canopy did not differ spectrally from healthy hemlock. That is the detection floor for adelgid damage from moderate-resolution optical imagery, established in 1997 and never overturned in this set."
10.1002/ecs2.1467,2016,Are U.S. national parks in the Upper Midwest acting as refugia? Inside vs. outside park disturbance regimes,not stated,RQ2,"LandTrendr automated change detection across 1.5 million ha, with agents assigned inside and outside park boundaries",Landsat,"beaver, blowdown, development, fire, flooding, insect or disease, and forest harvest","Upper Midwest United States forest, eight national parks",patch,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Seven agent classes, one of the widest in the set, yet all insects and all diseases share a single class."
10.3390/f6030594,2015,Analysis of Unmanned Aerial System-Based CIR Images in Forestry—A New Perspective to Monitor Pest Infestation Levels,not stated,RQ2,colour-infrared UAS imagery from a calibrated modified compact camera at crown and branch level,UAS colour-infrared imagery,oak splendour beetle (Agrilus biguttatus),"Quercus spp., western Germany",individual crown and branch,"two study sites, design not stated in abstract",no,not extracted from abstract,not extracted from abstract,Early UAS work at the crown and branch level for a stem-boring beetle.
10.1186/s13021-015-0041-6,2015,Choice of satellite imagery and attribution of changes to disturbance type strongly affects forest carbon balance estimates,Carbon Balance and Management,RQ2,"carbon budget modelling under four remote sensing products, varying spatial resolution, temporal resolution and whether changes were attributed to disturbance type","Landsat, Landsat-SPOT, MODIS",disturbance types assigned using supplementary data,Canadian forest,30 m and 250 m pixel,comparison of estimates under different product choices,no,effect of attribution choice on carbon flux estimates,not extracted from abstract,"Shows that attributing change to disturbance type materially changes downstream estimates, which is the practical argument for getting agent right."
10.1659/mrd-journal-d-13-00017.1,2014,"Post-disaster Forest Management and Bark Beetle Outbreak in Tatra National Park, Slovakia",not stated,RQ2,"GIS mapping from colour-infrared aerial imagery of windstorm damage and subsequent beetle infestation, presented as simple techniques for managers",colour-infrared aerial imagery,Alzbeta windstorm 2004 then Ips typographus outbreak in uncleared wood,"Norway spruce, Tatra National Park, Slovakia",stand and patch,not stated in abstract,no,area affected,"12,000 ha of forest damaged by wind, about 165,000 m3 of damaged wood left uncleared","Documents the causal chain from an abiotic event through uncleared material to a biotic outbreak, so the two agents are not independent."
10.3390/rs6065696,2014,Mapping Mountain Pine Beetle Mortality through Growth Trend Analysis of Time-Series Landsat Data,Remote Sensing,RQ2,forest growth trend analysis combining Landsat temporal trajectories with decision trees to attribute events from segment characteristics,Landsat time series over 11 years,mountain pine beetle,western North American pine,pixel,validation reported but figures not extracted from abstract,no,not extracted from abstract,not extracted from abstract,"Names the two obstacles plainly, eliminating observational noise and attributing changes quantitatively."
10.3390/f5123169,2014,"Evaluating an Automated Approach for Monitoring Forest Disturbances in the Pacific Northwest from Logging, Fire and Insect Outbreaks with Landsat Time Series Data",not stated,RQ2;RQ4,"48 maps produced from disturbance index thresholds and trajectory-based analysis at multiple confidence thresholds, verified against three independent sources","Landsat time series stacks, AVHRR for the original signal","logging, fire and insect outbreak",Pacific Northwest forest,pixel,"verified with air photos, monitoring trends in burn severity data, and insect aerial detection survey data",no,not extracted from abstract,not extracted from abstract,Uses aerial detection survey data as one of three independent verification sources rather than as training labels.
10.1890/es14-00234.1,2014,Ice storms generate spatially heterogeneous damage patterns at the watershed scale in forested landscapes,not stated,RQ2,"analysis of damage pattern against biophysical factors at two spatial extents, the whole national forest and 65 individual watersheds","remote sensing damage mapping, sensor not stated in abstract",ice storm,Ouachita National Forest,watershed and forest,comparison across two spatial extents,no,not extracted from abstract,not extracted from abstract,"Finds that the apparent biophysical controls of damage depend on the spatial extent of analysis, a direct warning about support and blocking."
10.1016/j.rse.2011.09.009,2011,A Landsat time series approach to characterize bark beetle and defoliator impacts on tree mortality and surface fuels in conifer forests,not stated,RQ1;RQ2,Landsat time series characterisation of impacts on tree mortality and surface fuels,Landsat time series,bark beetle and defoliator,"conifer forests, region not resolved without the full text","not stated, abstract not retrievable","not stated, abstract not retrievable",not stated,"not stated, abstract not retrievable","not stated, abstract not retrievable","Identity resolved by title only. Neither Crossref nor Semantic Scholar returned an abstract and the full text was not opened, so nothing about its method or results is asserted here. PRIORITY FULL-TEXT READ. Together with R0521 it is one of only two records in the set whose title names two insect agents in one conifer study, and 241 citations make it the most influential of the two."
